Action,Keyword status,Campaign,Ad group,Keyword,Match Type,Default max. CPC,Final URL,Label
Add,Enabled,Search - Sous-traitance DP,Sous-traitance DP,prestataire déclaration préalable photovoltaïque,Phrase match,1.50,https://sunelys.fr/sous-traitance-declaration-prealable-solaire?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=b2b_intent_dp,B2B intent DP
Add,Enabled,Search - Sous-traitance DP,Sous-traitance DP,sous traitant dp photovoltaïque,Phrase match,1.50,https://sunelys.fr/sous-traitance-declaration-prealable-solaire?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=b2b_intent_dp,B2B intent DP
Add,Enabled,Search - Sous-traitance DP,Sous-traitance DP,externaliser déclaration préalable panneaux solaires,Phrase match,1.50,https://sunelys.fr/sous-traitance-declaration-prealable-solaire?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=b2b_intent_dp,B2B intent DP
Add,Enabled,Search - Sous-traitance DP,Sous-traitance DP,gestion déclaration préalable installateur photovoltaïque,Phrase match,1.50,https://sunelys.fr/sous-traitance-declaration-prealable-solaire?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=b2b_intent_dp,B2B intent DP
Add,Enabled,Search - Sous-traitance DP,Blocage mairie DP,reprendre dossier dp photovoltaïque,Phrase match,1.50,https://sunelys.fr/declaration-prealable-panneaux-solaires?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=b2b_intent_mairie,B2B intent mairie
Add,Enabled,Search - Sous-traitance DP,Blocage mairie DP,correction dossier dp panneaux solaires,Phrase match,1.50,https://sunelys.fr/declaration-prealable-panneaux-solaires?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=b2b_intent_mairie,B2B intent mairie
Add,Enabled,Search - Pilotage admin PV,Pilotage complet,gestion administrative installateur photovoltaïque,Phrase match,1.50,https://sunelys.fr/gestion-administrative-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_pilotage_admin_pv&utm_content=b2b_intent_pilotage,B2B intent pilotage
Add,Enabled,Search - Pilotage admin PV,Pilotage complet,prestataire dossier photovoltaïque,Phrase match,1.50,https://sunelys.fr/gestion-administrative-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_pilotage_admin_pv&utm_content=b2b_intent_pilotage,B2B intent pilotage
Add,Enabled,Search - Pilotage admin PV,Pilotage complet,suivi administratif installateur photovoltaïque,Phrase match,1.50,https://sunelys.fr/gestion-administrative-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_pilotage_admin_pv&utm_content=b2b_intent_pilotage,B2B intent pilotage
Add,Enabled,Search - Pilotage admin PV,Externalisation administrative,sous traitance administratif photovoltaïque,Phrase match,1.50,https://sunelys.fr/gestion-administrative-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_pilotage_admin_pv&utm_content=b2b_intent_externalisation,B2B intent externalisation
Add,Enabled,Search - Pilotage admin PV,Externalisation administrative,externalisation dossier photovoltaïque,Phrase match,1.50,https://sunelys.fr/gestion-administrative-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_pilotage_admin_pv&utm_content=b2b_intent_externalisation,B2B intent externalisation
Add,Enabled,Search - Consuel Raccordement,Consuel PV,sous traitance consuel photovoltaïque,Phrase match,1.50,https://sunelys.fr/dossier-consuel-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=b2b_intent_consuel,B2B intent consuel
Add,Enabled,Search - Consuel Raccordement,Consuel PV,externaliser consuel photovoltaïque,Phrase match,1.50,https://sunelys.fr/dossier-consuel-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=b2b_intent_consuel,B2B intent consuel
Add,Enabled,Search - Consuel Raccordement,Consuel PV,prestataire consuel photovoltaïque,Phrase match,1.50,https://sunelys.fr/dossier-consuel-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=b2b_intent_consuel,B2B intent consuel
Add,Enabled,Search - Consuel Raccordement,Raccordement Enedis,prestataire raccordement enedis photovoltaïque,Phrase match,1.50,https://sunelys.fr/raccordement-enedis-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=b2b_intent_raccordement,B2B intent raccordement
Add,Enabled,Search - Consuel Raccordement,Raccordement Enedis,suivi raccordement enedis installateur,Phrase match,1.50,https://sunelys.fr/raccordement-enedis-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=b2b_intent_raccordement,B2B intent raccordement
Add,Enabled,Search - Consuel Raccordement,Raccordement Enedis,gestion raccordement enedis photovoltaïque,Phrase match,1.50,https://sunelys.fr/raccordement-enedis-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=b2b_intent_raccordement,B2B intent raccordement
Add,Enabled,Search - Consuel Raccordement,Raccordement Enedis,sous traitance raccordement enedis,Phrase match,1.50,https://sunelys.fr/raccordement-enedis-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=b2b_intent_raccordement,B2B intent raccordement
